1.129999, 0, 0, 6.902377, 1.662766, 0, 283.773, -1750.555, -7.299119, 0.01343784, 0.1308036, 23.9778, 2.530424, 1.939194, 25.03549
1.389999, -0.3088745, -0.06903531, 9.763906, 1.660482, 1.566710935629355892655, 674.6575, -1756.541, -7.299119, 0.01343784, 0.1308036, 36.98577, 2.530424, 1.935001, 25.19847
 
1.399999, -0.3102216, -0.07212405, 9.874651, 1.660005, 1.5378507689345393082311, 693.1477, -1756.772, -7.299119, 0.01343784, 0.1308036, 37.48987, 2.530424, 1.93484, 25.20474
 
1.409999, -0.3114023, -0.07522626, 9.986046, 1.660118, 1.5093590342789747416806, 711.8941, -1757.003, -7.299119, 0.01343784, 0.1308036, 37.99416, 2.530424, 1.934678, 25.21101
 
1.419999, -0.3124137, -0.07834028, 10.09721, 1.659936, 1.4812120614478499125256, 730.8969, -1757.234, -7.299119, 0.01343784, 0.1308036, 38.49865, 2.530424, 1.934517, 25.21728
 
1.429999, -0.3132495, -0.08146442, 10.20842, 1.659755, 1.4533872093661269872655, 750.155, -1757.466, -7.299119, 0.01343784, 0.1308036, 39.0033, 2.530424, 1.934356, 25.22355
 
1.439999, -0.3139041, -0.08459692, 10.31998, 1.659868, 1.4258669826576403672862, 769.6696, -1757.697, -7.299119, 0.01343784, 0.1308036, 39.50813, 2.530424, 1.934195, 25.22982
 
1.449999, -0.3143741, -0.08773596, 10.4313, 1.659685, 1.3986307985269011130417, 789.4406, -1757.928, -7.299119, 0.01343784, 0.1308036, 40.01314, 2.530424, 1.934033, 25.23608
 
1.459999, -0.314653, -0.0908797, 10.54268, 1.659503, 1.3716601324579691789406, 809.4683, -1758.16, -7.299119, 0.01343784, 0.1308036, 40.51833, 2.530424, 1.933872, 25.24235
 
1.469999, -0.3147353, -0.09402623, 10.6541, 1.659319, 1.3449374890746789663688, 829.7515, -1758.391, -7.299119, 0.01343784, 0.1308036, 41.02366, 2.530424, 1.933711, 25.24862
 
1.479999, -0.3146155, -0.09717359, 10.76588, 1.659432, 1.3184484604201882176441, 850.2914, -1758.623, -7.299119, 0.01343784, 0.1308036, 41.52917, 2.530424, 1.933549, 25.25489
 
1.489999, -0.3142915, -0.1003197, 10.8771, 1.658953, 1.2921796676774291220616, 871.087, -1758.855, -7.299119, 0.01343784, 0.1308036, 42.03482, 2.530424, 1.933388, 25.26116
 
1.499999, -0.3137525, -0.1034627, 10.98927, 1.659361, 1.2661156737497849749618, 892.1395, -1759.086, -7.299119, 0.01343784, 0.1308036, 42.54063, 2.530424, 1.933227, 25.26743
 
1.509999, -0.313, -0.1066002, 11.1006, 1.658881, 1.2402420706804135186625, 913.4478, -1759.318, -7.299119, 0.01343784, 0.1308036, 43.04659, 2.530424, 1.933066, 25.27369
 
1.519999, -0.3120244, -0.1097302, 11.21226, 1.658696, 1.2145475379317958364134, 935.0118, -1759.55, -7.299119, 0.01343784, 0.1308036, 43.55267, 2.530424, 1.932904, 25.27996
 
1.529999, -0.3108215, -0.1128504, 11.32427, 1.658809, 1.1890228132459619054188, 956.833, -1759.782, -7.299119, 0.01343784, 0.1308036, 44.05892, 2.530424, 1.932743, 25.28623
 
1.539999, -0.309388, -0.1159587, 11.43603, 1.658624, 1.1636545178058439149738, 978.9102, -1760.014, -7.299119, 0.01343784, 0.1308036, 44.5653, 2.530424, 1.932582, 25.2925
 
1.549999, -0.3077168, -0.1190525, 11.54813, 1.658736, 1.13843441849324628926, 1001.243, -1760.246, -7.299119, 0.01343784, 0.1308036, 45.0718, 2.530424, 1.93242, 25.29877
 
1.559999, -0.3058075, -0.1221297, 11.65967, 1.658254, 1.1133532530501990054817, 1023.832, -1760.478, -7.299119, 0.01343784, 0.1308036, 45.57843, 2.530424, 1.932259, 25.30504
 
1.569999, -0.3036498, -0.1251878, 11.77186, 1.658365, 1.0884027883585064878205, 1046.678, -1760.71, -7.299119, 0.01343784, 0.1308036, 46.08519, 2.530424, 1.932098, 25.31131
 
1.579999, -0.3012429, -0.1282243, 11.88377, 1.65818, 1.063574791299973160458, 1069.778, -1760.942, -7.299119, 0.01343784, 0.1308036, 46.59204, 2.530424, 1.931937, 25.31758
 
1.589999, -0.2985806, -0.1312367, 11.99603, 1.658292, 1.0388630870359523415304, 1093.134, -1761.175, -7.299119, 0.01343784, 0.1308036, 47.09903, 2.530424, 1.931775, 25.32384
 
1.599999, -0.2956628, -0.1342225, 12.10773, 1.657808, 1.0142620152976835435227755530, 1116.747, -1761.407, -7.299119, 0.01343784, 0.1308036, 47.60612, 2.530424, 1.931614, 25.33011
 
1.609999, -0.2924791, -0.1371792, 12.22007, 1.657919, 0.98976426919277128031562, 1140.615, -1761.639, -7.299119, 0.01343784, 0.1308036, 48.11332, 2.530424, 1.931453, 25.33638
 
1.619999, -0.2890308, -0.1401039, 12.33214, 1.657733, 0.96536552633415978718495, 1164.739, -1761.872, -7.299119, 0.01343784, 0.1308036, 48.62064, 2.530424, 1.931292, 25.34265
 
1.629999, -0.2853103, -0.1429942, 12.44454, 1.657843, 0.94106033228104552429085, 1189.118, -1762.104, -7.299119, 0.01343784, 0.1308036, 49.12805, 2.530424, 1.93113, 25.34892
 
1.639999, -0.2813197, -0.1458473, 12.5564, 1.657359, 0.9168455996141061798411944470, 1213.754, -1762.337, -7.299119, 0.01343784, 0.1308036, 49.63558, 2.530424, 1.930969, 25.35519
 
